title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期
福特F-150 2019款 3.5T LTD,8.4, 2020,2020-07,2024-07,2023-07,32.89,皮卡,蓝色,前置四驱, 2020 
宝马3系 2018款 320Li 时尚型,7.9, 2017,2017-12,2023-12,2023-12,16.2,中型车,白色,前置后驱, 2017 
奥迪S3 2017款 改款 S3 2.0T Limousine,4.7, 2019,2019-01,2025-01,2024-01,23.98,紧凑型车,蓝色,前置四驱, 2019 
奥迪SQ5 2021款 3.0 TFSI quattro,0.28,未上牌,,,,46.7,中型SUV,绿色,前置四驱,未上牌
奥迪SQ5 2021款 3.0 TFSI quattro,0.33,未上牌,,,,52.7,中型SUV,黑色,前置四驱,未上牌
奇骏 2019款 2.0L CVT智联舒适版 2WD,8.6, 2019,2019-01,2025-01,2024-01,11.58,紧凑型SUV,白色,前置前驱, 2019 
马自达CX-4 2020款 2.0L 自动两驱蓝天品位版,6.75, 2020,2020-06,2024-06,2023-06,10.46,紧凑型SUV,白色,前置前驱, 2020 
奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,2.8, 2020,2020-12,2024-12,2023-12,11.86,紧凑型车,红/紫色,前置前驱, 2020 
高尔夫 2015款 1.4TSI 自动舒适型,7.5, 2015,2015-10,2023-10,2023-10,6.56,紧凑型车,白色,前置前驱, 2015 
领动 2016款 1.6L 自动智炫·精英型,7.8, 2018,2018-07,2024-07,2023-07,6.3,紧凑型车,白色,前置前驱, 2018 
雷凌 2017款 改款 185T CVT精英版 国VI,3.1, 2019,2019-03,2025-03,2024-03,7.38,紧凑型车,白色,前置前驱, 2019 
保时捷718 2018款 Cayman 2.0T,3.55, 2018,2018-03,2024-03,2024-03,42.88,跑车,银/灰色,中置后驱, 2018 
宝马1系 2019款 118i M运动套装,3.9, 2019,2019-01,2025-01,2024-01,10.98,紧凑型车,白色,前置前驱, 2019 
奔驰A级 2019款 A 200 L 运动轿车,4, 2019,2019-09,2023-09,2023-09,15.5,紧凑型车,银/灰色,前置前驱, 2019 
马自达3 昂克赛拉 2014款 三厢 1.5L 自动豪华型,6.1, 2015,2015-01,2024-01,2024-01,5.88,紧凑型车,红/紫色,前置前驱, 2015 
途观L 2019款 改款 330TSI 自动两驱R-Line旗舰版 国VI,7, 2020,2020-04,2024-04,2024-04,15.98,中型SUV,白色,前置前驱, 2020 
奔驰E级 2019款 E 200 L,11.3, 2019,2019-01,2025-01,2024-01,29.28,中大型车,黑色,前置后驱, 2019 
前途K50 2018款 标准型,4.1, 2020,2020-01,2024-01,2024-01,30.89,跑车,红/紫色,双电机四驱, 2020 
高尔夫 2019款 1.6L 自动舒适型 国V,5.9, 2019,2019-01,2025-01,2024-01,9.28,紧凑型车,白色,前置前驱, 2019 
杰德 2017款 1.8L 自动舒适版 5座,6.6, 2018,2018-01,2024-01,2024-01,8.8,紧凑型车,红/紫色,前置前驱, 2018 
宝马5系 2018款 528Li 上市特别版,6.6, 2018,2018-03,2024-03,2023-03,26.98,中大型车,香槟/棕色,前置后驱, 2018 
